Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12042;LOURDES LAPACCA;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;70.6;70.575;µg-m3;100.0;100;100.0;A;1;43.096247;-0.040497
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12052;Tarbes lycée Dupuy;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;78.1;78.125;µg-m3;100.0;100;100.0;R;1;43.230297;0.062339
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12053;Stade Travet CASTRES;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;64.7;64.7;µg-m3;100.0;100;100.0;R;1;43.610497;2.23015
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12095;Rodez;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;56.2;56.175;µg-m3;100.0;100;100.0;A;1;44.35699225;2.57070422
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR14008;REVIN;Rurale nationale;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;66.0;66.025;µg-m3;100.0;100;100.0;R;1;49.90778;4.63
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO GRAND EST;FR44ZAR01;ZAR REIMS;FR14010;BETHENY;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;36.1;36.075;µg-m3;100.0;100;100.0;R;1;49.28222;4.051111
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO GRAND EST;FR44ZAR01;ZAR REIMS;FR14012;Jean d Aulan;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;34.0;34.0;µg-m3;100.0;100;100.0;A;1;49.224167;4.020556
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR14022;CHALONS;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;41.1;41.05;µg-m3;100.0;100;100.0;A;1;48.962223;4.36
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR14032;ST PARRES AUX TERTRE;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;44.3;44.25;µg-m3;100.0;100;100.0;R;1;48.299168;4.117222
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR14042;St DIZIER L. Michel;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;44.8;44.825;µg-m3;100.0;100;100.0;R;1;48.645836;4.966111
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR14051;CHARLEVILLE;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;39.3;39.325;µg-m3;100.0;100;100.0;A;1;49.745277;4.719167
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15013;Champ sur Drac;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;38.7;38.725;µg-m3;100.0;100;100.0;A;1;45.07954;5.728653
